filename,max_lat,min_lat,max_lon,min_lon,file_type,file_size_mb,file_format,version,created,utmzone,srs,epsg_code,match,fullpath,uc,nuc
TAP_A01_2008_laz_0.laz,-2.847618237,-2.85667551,-54.94545542,-54.95446336,pointcloud,168.272464,LAS/LAZ,1.0,0/0,21S,"+proj=utm +zone=21 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs ",32721,1,/media/ljp238/12TBWolf/ARCHIEVE/Brazil_ORNL_laz/TAP_A01_2008_laz_0.laz,[1],1.0
TAP_A01_2008_laz_1.laz,-2.8566756,-2.865732903,-54.95443144,-54.96343949,pointcloud,242.090282,LAS/LAZ,1.0,0/0,21S,"+proj=utm +zone=21 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs ",32721,1,/media/ljp238/12TBWolf/ARCHIEVE/Brazil_ORNL_laz/TAP_A01_2008_laz_1.laz,[1],1.0
TAP_A01_2008_laz_2.laz,-2.856659471,-2.865716884,-54.94543931,-54.95444747,pointcloud,162.888946,LAS/LAZ,1.0,0/0,21S,"+proj=utm +zone=21 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs ",32721,1,/media/ljp238/12TBWolf/ARCHIEVE/Brazil_ORNL_laz/TAP_A01_2008_laz_2.laz,[1],1.0
TAP_A01_2008_laz_3.laz,-2.847639201,-2.856691659,-54.95444945,-54.96345548,pointcloud,242.214129,LAS/LAZ,1.0,0/0,21S,"+proj=utm +zone=21 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs ",32721,1,/media/ljp238/12TBWolf/ARCHIEVE/Brazil_ORNL_laz/TAP_A01_2008_laz_3.laz,[1],1.0
TAP_A04_2008_15-01.laz,-3.008278943,-3.022525442,-54.96281415,-54.97757852,pointcloud,91.153778,LAS/LAZ,1.0,0/0,21S,"+proj=utm +zone=21 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs ",32721,1,/media/ljp238/12TBWolf/ARCHIEVE/Brazil_ORNL_laz/TAP_A04_2008_15-01.laz,[1],1.0
TAP_A04_2008_15-02.laz,-3.003128915,-3.017603082,-54.95266085,-54.96757324,pointcloud,90.198225,LAS/LAZ,1.0,0/0,21S,"+proj=utm +zone=21 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs ",32721,1,/media/ljp238/12TBWolf/ARCHIEVE/Brazil_ORNL_laz/TAP_A04_2008_15-02.laz,[1],1.0
TAP_A04_2008_15-03.laz,-3.017590167,-3.031605497,-54.95806631,-54.97297607,pointcloud,89.232452,LAS/LAZ,1.0,0/0,21S,"+proj=utm +zone=21 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs ",32721,1,/media/ljp238/12TBWolf/ARCHIEVE/Brazil_ORNL_laz/TAP_A04_2008_15-03.laz,[1],1.0
TAP_A04_2008_15-04.laz,-3.012668895,-3.026911973,-54.94777497,-54.96282359,pointcloud,86.177198,LAS/LAZ,1.0,0/0,21S,"+proj=utm +zone=21 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs ",32721,1,/media/ljp238/12TBWolf/ARCHIEVE/Brazil_ORNL_laz/TAP_A04_2008_15-04.laz,[1],1.0
TAP_A04_2008_laz_0.laz,-3.003128915,-3.017603082,-54.95266085,-54.96757324,pointcloud,90.198225,LAS/LAZ,1.0,0/0,21S,"+proj=utm +zone=21 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs ",32721,1,/media/ljp238/12TBWolf/ARCHIEVE/Brazil_ORNL_laz/TAP_A04_2008_laz_0.laz,[1],1.0
TAP_A04_2008_laz_1.laz,-3.012668895,-3.026911973,-54.94777497,-54.96282359,pointcloud,86.177198,LAS/LAZ,1.0,0/0,21S,"+proj=utm +zone=21 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs ",32721,1,/media/ljp238/12TBWolf/ARCHIEVE/Brazil_ORNL_laz/TAP_A04_2008_laz_1.laz,[1],1.0
TAP_A04_2008_laz_2.laz,-3.017590167,-3.031605497,-54.95806631,-54.97297607,pointcloud,89.232452,LAS/LAZ,1.0,0/0,21S,"+proj=utm +zone=21 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs ",32721,1,/media/ljp238/12TBWolf/ARCHIEVE/Brazil_ORNL_laz/TAP_A04_2008_laz_2.laz,[1],1.0
TAP_A04_2008_laz_3.laz,-3.008278943,-3.022525442,-54.96281415,-54.97757852,pointcloud,91.153778,LAS/LAZ,1.0,0/0,21S,"+proj=utm +zone=21 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs ",32721,1,/media/ljp238/12TBWolf/ARCHIEVE/Brazil_ORNL_laz/TAP_A04_2008_laz_3.laz,[1],1.0
TAP_A05_2008_16-01.laz,-3.032858727,-3.035936789,-54.94988045,-54.96864937,pointcloud,29.395621,LAS/LAZ,1.0,0/0,21S,"+proj=utm +zone=21 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs ",32721,1,/media/ljp238/12TBWolf/ARCHIEVE/Brazil_ORNL_laz/TAP_A05_2008_16-01.laz,[1],1.0
TAP_A05_2008_laz_0.laz,-3.032858727,-3.035936789,-54.94988045,-54.96864937,pointcloud,29.395621,LAS/LAZ,1.0,0/0,21S,"+proj=utm +zone=21 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs ",32721,1,/media/ljp238/12TBWolf/ARCHIEVE/Brazil_ORNL_laz/TAP_A05_2008_laz_0.laz,[1],1.0
TAP_A06_2008_17-01.laz,-3.045598786,-3.054982761,-54.94105426,-54.95352644,pointcloud,39.097884,LAS/LAZ,1.0,0/0,21S,"+proj=utm +zone=21 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs ",32721,1,/media/ljp238/12TBWolf/ARCHIEVE/Brazil_ORNL_laz/TAP_A06_2008_17-01.laz,[1],1.0
TAP_A06_2008_laz_0.laz,-3.045598786,-3.054982761,-54.94105426,-54.95352644,pointcloud,39.097884,LAS/LAZ,1.0,0/0,21S,"+proj=utm +zone=21 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs ",32721,1,/media/ljp238/12TBWolf/ARCHIEVE/Brazil_ORNL_laz/TAP_A06_2008_laz_0.laz,[1],1.0
